product_id,product_type,product_name,size,colour,price,quantity_x,description,sales_id,order_id,price_per_unit,quantity_y,total_price,customer_id,customer_name,gender,age,home_address,zip_code,city,state,country,is_active,payment,order_date,delivery_date,age_group
1,Shirt,Oxford Cloth,S,red,114,53,"A red coloured, S sized, Oxford Cloth Shirt",22,5,96,3,288.0,441,fulan 441,Prefer not to say,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,active,14719,2021-03-23,2021-03-24,Adult
148,Shirt,Linen,L,orange,116,73,"A orange coloured, L sized, Linen Shirt",20,5,91,2,182.0,441,fulan 441,Prefer not to say,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,active,14719,2021-03-23,2021-03-24,Adult
475,Jacket,Puffer,XS,blue,110,57,"A blue coloured, XS sized, Puffer Jacket",21,5,118,2,236.0,441,fulan 441,Prefer not to say,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,active,14719,2021-03-23,2021-03-24,Adult
635,Jacket,Coach,XS,orange,115,42,"A orange coloured, XS sized, Coach Jacket",25,5,93,3,279.0,441,fulan 441,Prefer not to say,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,active,14719,2021-03-23,2021-03-24,Adult
639,Jacket,Coach,XL,orange,115,46,"A orange coloured, XL sized, Coach Jacket",26,5,93,3,279.0,441,fulan 441,Prefer not to say,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,active,14719,2021-03-23,2021-03-24,Adult
695,Jacket,Parka,XS,violet,119,59,"A violet coloured, XS sized, Parka Jacket",27,5,113,1,113.0,441,fulan 441,Prefer not to say,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,active,14719,2021-03-23,2021-03-24,Adult
830,Jacket,Shearling,XS,indigo,95,68,"A indigo coloured, XS sized, Shearling Jacket",23,5,117,3,351.0,441,fulan 441,Prefer not to say,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,active,14719,2021-03-23,2021-03-24,Adult
1209,Trousers,Pleated,XL,green,90,55,"A green coloured, XL sized, Pleated Trousers",24,5,105,3,315.0,441,fulan 441,Prefer not to say,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,active,14719,2021-03-23,2021-03-24,Adult
1,Shirt,Oxford Cloth,S,red,114,53,"A red coloured, S sized, Oxford Cloth Shirt",1121,231,96,1,96.0,731,fulan 731,Prefer not to say,39,6434 Callum RoadApt. 396,3505,North Jessica,Western Australia,Australia,active,58824,2021-03-20,2021-04-09,Adult
126,Shirt,Denim,S,blue,115,47,"A blue coloured, S sized, Denim Shirt",1123,231,92,2,184.0,731,fulan 731,Prefer not to say,39,6434 Callum RoadApt. 396,3505,North Jessica,Western Australia,Australia,active,58824,2021-03-20,2021-04-09,Adult
192,Shirt,Camp Collared,M,green,112,41,"A green coloured, M sized, Camp Collared Shirt",1119,231,98,2,196.0,731,fulan 731,Prefer not to say,39,6434 Callum RoadApt. 396,3505,North Jessica,Western Australia,Australia,active,58824,2021-03-20,2021-04-09,Adult
646,Jacket,Coach,S,green,115,60,"A green coloured, S sized, Coach Jacket",1120,231,93,2,186.0,731,fulan 731,Prefer not to say,39,6434 Callum RoadApt. 396,3505,North Jessica,Western Australia,Australia,active,58824,2021-03-20,2021-04-09,Adult
740,Jacket,Peacoat,XS,orange,102,78,"A orange coloured, XS sized, Peacoat Jacket",1122,231,109,1,109.0,731,fulan 731,Prefer not to say,39,6434 Callum RoadApt. 396,3505,North Jessica,Western Australia,Australia,active,58824,2021-03-20,2021-04-09,Adult
1,Shirt,Oxford Cloth,S,red,114,53,"A red coloured, S sized, Oxford Cloth Shirt",1741,353,96,3,288.0,774,fulan 774,Prefer not to say,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia,active,46198,2021-03-30,2021-04-05,Adult
18,Shirt,Oxford Cloth,L,green,114,52,"A green coloured, L sized, Oxford Cloth Shirt",1738,353,96,2,192.0,774,fulan 774,Prefer not to say,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia,active,46198,2021-03-30,2021-04-05,Adult
87,Shirt,Flannel,M,green,96,66,"A green coloured, M sized, Flannel Shirt",1742,353,118,3,354.0,774,fulan 774,Prefer not to say,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia,active,46198,2021-03-30,2021-04-05,Adult
174,Shirt,Linen,XL,violet,116,73,"A violet coloured, XL sized, Linen Shirt",1740,353,91,3,273.0,774,fulan 774,Prefer not to say,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia,active,46198,2021-03-30,2021-04-05,Adult
396,Shirt,Casual Slim Fit,S,yellow,113,45,"A yellow coloured, S sized, Casual Slim Fit Shirt",1739,353,119,1,119.0,774,fulan 774,Prefer not to say,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia,active,46198,2021-03-30,2021-04-05,Adult
594,Jacket,Bomber,XL,violet,90,53,"A violet coloured, XL sized, Bomber Jacket",1744,353,100,1,100.0,774,fulan 774,Prefer not to say,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia,active,46198,2021-03-30,2021-04-05,Adult
948,Trousers,Slim-Fit,L,red,119,80,"A red coloured, L sized, Slim-Fit Trousers",1743,353,97,1,97.0,774,fulan 774,Prefer not to say,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia,active,46198,2021-03-30,2021-04-05,Adult
1,Shirt,Oxford Cloth,S,red,114,53,"A red coloured, S sized, Oxford Cloth Shirt",3201,644,96,2,192.0,207,fulan 207,Prefer not to say,56,38 Baumbach Estate DrApt. 545,7847,Elijahburgh,Queensland,Australia,active,52925,2021-03-13,2021-03-22,Adult
167,Shirt,Linen,M,indigo,116,72,"A indigo coloured, M sized, Linen Shirt",3200,644,91,3,273.0,207,fulan 207,Prefer not to say,56,38 Baumbach Estate DrApt. 545,7847,Elijahburgh,Queensland,Australia,active,52925,2021-03-13,2021-03-22,Adult
454,Jacket,Denim,XL,violet,92,63,"A violet coloured, XL sized, Denim Jacket",3199,644,107,2,214.0,207,fulan 207,Prefer not to say,56,38 Baumbach Estate DrApt. 545,7847,Elijahburgh,Queensland,Australia,active,52925,2021-03-13,2021-03-22,Adult
957,Trousers,Slim-Fit,M,yellow,119,55,"A yellow coloured, M sized, Slim-Fit Trousers",3202,644,97,3,291.0,207,fulan 207,Prefer not to say,56,38 Baumbach Estate DrApt. 545,7847,Elijahburgh,Queensland,Australia,active,52925,2021-03-13,2021-03-22,Adult
1,Shirt,Oxford Cloth,S,red,114,53,"A red coloured, S sized, Oxford Cloth Shirt",4962,992,96,3,288.0,770,fulan 770,Prefer not to say,50,7024 Sauer DriveSuite 553,4196,Port Isabelle,South Australia,Australia,active,53679,2021-07-23,2021-08-14,Adult
299,Shirt,Cuban Collar,XL,green,93,60,"A green coloured, XL sized, Cuban Collar Shirt",4963,992,105,1,105.0,770,fulan 770,Prefer not to say,50,7024 Sauer DriveSuite 553,4196,Port Isabelle,South Australia,Australia,active,53679,2021-07-23,2021-08-14,Adult
485,Jacket,Puffer,XS,violet,110,74,"A violet coloured, XS sized, Puffer Jacket",4964,992,118,1,118.0,770,fulan 770,Prefer not to say,50,7024 Sauer DriveSuite 553,4196,Port Isabelle,South Australia,Australia,active,53679,2021-07-23,2021-08-14,Adult
